generator,run_idx,seed,fitted_ll_M1,fitted_ll_M2,fitted_ll_M3,winner
M1,0,295,-21.941633966795717,-29.70310117183873,-22.862486189096046,M1
M1,1,296,-24.493828545136317,-30.900157669389976,-25.15827540696605,M1
M1,2,297,-34.70260685849895,-35.68838365959509,-34.34143227844621,M3
M1,3,298,-34.702606858499,-35.688383659595125,-34.341432278446234,M3
M1,4,299,-29.598217701817738,-33.29427066449258,-29.749853842706194,M1
M1,5,300,-34.70260685849902,-35.68838365959513,-34.34143227844625,M3
M1,6,301,-38.74421330252044,-39.27955315224894,-41.22879993205632,M1
M1,7,302,-34.70260685849897,-35.688383659595104,-34.34143227844621,M3
M1,8,303,-32.15041228015831,-34.4913271620438,-32.04564306057618,M3
M1,9,304,-34.70260685849904,-35.68838365959513,-34.34143227844626,M3
M2,0,369,-27.046023123476985,-32.09721416694126,-27.454064624836093,M1
M2,1,370,-24.49382854513632,-30.90015766938998,-25.15827540696605,M1
M2,2,371,-34.702606858498996,-35.688383659595104,-34.341432278446234,M3
M2,3,372,-34.70260685849894,-35.68838365959509,-34.34143227844619,M3
M2,4,373,-36.19201872417981,-36.88544015714639,-36.63722149631628,M1
M2,5,374,-42.572505170031434,-42.87072264490277,-48.116167585666474,M1
M2,6,375,-34.702606858498996,-35.68838365959511,-34.341432278446234,M3
M2,7,376,-37.46811601335011,-38.08249665469765,-38.93301071418627,M1
M2,8,377,-41.29640788086108,-41.67366614735147,-45.82037836779639,M1
M2,9,378,-32.15041228015838,-34.49132716204386,-32.045643060576225,M3
M3,0,570,-32.15041228015835,-34.49132716204383,-32.0456430605762,M3
M3,1,571,-24.49382854513641,-30.900157669390023,-25.158275406966105,M1
M3,2,572,-37.46811601335013,-38.082496654697664,-38.933010714186295,M1
M3,3,573,-34.70260685849896,-35.68838365959509,-34.34143227844621,M3
M3,4,574,-32.150412280158314,-34.49132716204381,-32.04564306057618,M3
M3,5,575,-27.04602312347705,-32.0972141669413,-27.454064624836136,M1
M3,6,576,-21.9416339667957,-29.703101171838725,-22.862486189096035,M1
M3,7,577,-29.598217701817667,-33.29427066449256,-29.749853842706138,M1
M3,8,578,-27.04602312347707,-32.0972141669413,-27.454064624836157,M1
M3,9,579,-34.702606858498996,-35.688383659595104,-34.34143227844622,M3
egreedy,0,496,-56.24571933558957,-55.697025151926496,-61.81891964426273,M2
egreedy,1,497,-51.68798128040347,-51.42159098291853,-57.25133562473054,M2
egreedy,2,498,-111.75822634404722,-110.25996448554224,-108.79870470763186,M3
egreedy,3,499,-60.716389592178814,-59.28734515986183,-63.42938135308185,M2
egreedy,4,500,-75.44062912353911,-70.17155415726289,-71.59407056125661,M2
egreedy,5,501,-113.67798538145406,-110.7894631684963,-109.8434896372197,M3
egreedy,6,502,-127.4238143743354,-114.5337269255586,-123.63741028317494,M2
egreedy,7,503,-110.12883065392559,-109.34419531246422,-107.64961708880946,M3
egreedy,8,504,-80.21954600032382,-79.50955850831642,-79.12657765048418,M3
egreedy,9,505,-76.63196021119438,-72.46209785655259,-74.6499630086702,M2
softmax,0,915,-114.2099578168672,-110.9921351406834,-116.7042815717987,M2
softmax,1,916,-108.5269660423935,-108.38940669552275,-109.79780426163994,M2
softmax,2,917,-111.8269555791224,-110.35901174550276,-117.33112529840454,M2
softmax,3,918,-111.44112761294902,-110.22702485555618,-114.39606751047903,M2
softmax,4,919,-122.59480760343192,-113.27538800245848,-123.74943129489476,M2
softmax,5,920,-115.80683891058541,-111.41179895670737,-117.1691588846349,M2
softmax,6,921,-108.76927480290655,-108.56734772424335,-108.15242487433397,M3
softmax,7,922,-120.80589975216398,-112.76065089223391,-121.42113958622524,M2
softmax,8,923,-115.49912341195446,-111.33778831974513,-118.70698316949625,M2
softmax,9,924,-120.29583032287043,-112.65385306017635,-120.42789400998288,M2
