generator,run_idx,seed,ll_M1,ll_M2,ll_M3,winner
M1,0,894,-61.934068607631936,-76.24971823588145,-55.14645772550236,M3
M1,1,895,-61.136507801900464,-75.76934468147117,-50.270129204967645,M3
M1,2,896,-59.94016659330329,-75.04878434985577,-42.95563642416557,M3
M1,3,897,-60.338946996169014,-75.2889711270609,-45.393800684432904,M3
M1,4,898,-60.338946996169,-75.2889711270609,-45.39380068443288,M3
M1,5,899,-61.53528820476619,-76.0095314586763,-52.70829346523496,M3
M1,6,900,-59.94016659330329,-75.04878434985577,-42.955636424165576,M3
M1,7,901,-60.338946996169014,-75.2889711270609,-45.393800684432904,M3
M1,8,902,-61.53528820476619,-76.0095314586763,-52.708293465234945,M3
M1,9,903,-59.14260578757184,-74.56841079544549,-38.07930790363088,M3
M2,0,342,-60.338946996169014,-75.2889711270609,-45.39380068443292,M3
M2,1,343,-59.940166593303296,-75.04878434985577,-42.95563642416556,M3
M2,2,344,-60.73772739903475,-75.52915790426604,-47.8319649447003,M3
M2,3,345,-61.5352882047662,-76.00953145867632,-52.70829346523499,M3
M2,4,346,-62.33284901049766,-76.48990501308658,-57.5846219857697,M3
M2,5,347,-60.73772739903474,-75.52915790426603,-47.83196494470026,M3
M2,6,348,-59.94016659330328,-75.04878434985577,-42.95563642416555,M3
M2,7,349,-61.934068607631936,-76.24971823588146,-55.14645772550237,M3
M2,8,350,-60.33894699616902,-75.2889711270609,-45.393800684432925,M3
M2,9,351,-61.93406860763193,-76.24971823588145,-55.14645772550231,M3
M3,0,612,-61.93406860763193,-76.24971823588143,-55.1464577255023,M3
M3,1,613,-61.136507801900486,-75.76934468147118,-50.27012920496763,M3
M3,2,614,-60.73772739903474,-75.52915790426604,-47.83196494470026,M3
M3,3,615,-61.53528820476621,-76.00953145867632,-52.708293465235,M3
M3,4,616,-61.93406860763194,-76.24971823588146,-55.14645772550238,M3
M3,5,617,-60.73772739903474,-75.52915790426604,-47.831964944700275,M3
M3,6,618,-60.33894699616903,-75.2889711270609,-45.39380068443294,M3
M3,7,619,-61.13650780190047,-75.76934468147118,-50.270129204967645,M3
M3,8,620,-59.9401665933033,-75.04878434985578,-42.9556364241656,M3
M3,9,621,-60.73772739903473,-75.52915790426603,-47.831964944700246,M3
egreedy,0,279,-135.67046844339544,-120.49051247140213,-129.40330373234013,M2
egreedy,1,280,-77.42952101692586,-85.59477414475558,-88.33995246195717,M1
egreedy,2,281,-127.69932858294636,-115.67298886795659,-133.98411047016202,M2
egreedy,3,282,-126.60523430058933,-115.0520330506152,-127.7915565443009,M2
egreedy,4,283,-135.85141068460197,-120.6733727659269,-141.23465221531978,M2
egreedy,5,284,-115.31896832730504,-108.26865226247851,-127.77272534483998,M2
egreedy,6,285,-124.84087674345037,-114.01163140979725,-130.33401761838581,M2
egreedy,7,286,-122.95304101487716,-112.89038500219084,-126.38710610371075,M2
egreedy,8,287,-124.96905566206839,-114.05278137257946,-130.85399282758993,M2
egreedy,9,288,-158.95135542622552,-134.44441017237745,-164.68100324244375,M2
softmax,0,838,-119.3520173864633,-110.8453917120341,-133.923925976204,M2
softmax,1,839,-139.91885257266765,-123.08788932706945,-168.94106064444688,M2
softmax,2,840,-121.29236822064044,-112.00265458110955,-146.4216569616823,M2
softmax,3,841,-119.60154117064698,-111.0315380535595,-152.94200757436596,M2
softmax,4,842,-129.7755917266267,-117.16933221812485,-141.5389860503401,M2
softmax,5,843,-131.85279741474898,-118.3660165778609,-141.70921782893322,M2
softmax,6,844,-142.49326623038053,-124.73017651386668,-165.5494246065278,M2
softmax,7,845,-128.24667013528776,-116.17032889798604,-148.22124212167816,M2
softmax,8,846,-141.20206973933819,-123.85219776991902,-150.36269390666752,M2
softmax,9,847,-139.9335747034842,-123.16624825350645,-149.7337380065209,M2
